                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.78033,                 2.0324,                 1.2863,                0.69377,                0.82609,                0.82725,                0.58361,                0.82283,                 3.7335,                 1.6348,             0.00040012,             0.00040012,             0.00040012
                      1,                 0.7809,                 1.0512,                 1.2222,                0.22975,                 0.4529,                0.20519,                0.08142,                 1.7664,                 2.9136,                 2.9388,             0.00080647,             0.00080647,             0.00080647
                      2,                0.86709,                 1.0494,                 1.2706,                0.20037,                0.40217,                0.20972,                0.08576,                 2.4952,                 5.0884,                 4.9112,              0.0012046,              0.0012046,              0.0012046
                      3,                0.95644,                 1.1068,                 1.3356,                0.27965,                0.50725,                 0.2305,                0.12089,                 2.1311,                 3.4482,                 3.4562,              0.0013866,              0.0013866,              0.0013866
                      4,                0.91524,                 0.9701,                 1.3044,                0.09122,                0.56884,                0.11048,                0.04359,                 1.7616,                 4.5742,                 3.0013,              0.0013866,              0.0013866,              0.0013866
                      5,                0.89642,                0.93116,                 1.2841,                0.27555,                0.27174,                0.30051,                 0.1442,                 1.5677,                 3.2767,                  2.552,              0.0013724,              0.0013724,              0.0013724
                      6,                0.84753,                0.82052,                 1.2595,                0.48244,                0.24275,                0.29597,                0.08625,                 2.4127,                 3.3178,                 3.6809,              0.0013583,              0.0013583,              0.0013583
                      7,                0.88991,                0.87559,                 1.3051,                0.57793,                0.58333,                0.61052,                0.40244,                 1.3405,                 1.9911,                 2.1512,              0.0013441,              0.0013441,              0.0013441
                      8,                0.83859,                0.78726,                 1.2405,                0.59579,                 0.7029,                0.65237,                0.40284,                 1.2891,                 1.3921,                 2.1509,                0.00133,                0.00133,                0.00133
                      9,                0.81553,                0.79285,                 1.2482,                0.69968,                0.65519,                0.78604,                0.52517,                 1.2843,                 1.3212,                 2.0791,              0.0013158,              0.0013158,              0.0013158
                     10,                0.81575,                0.79836,                 1.2451,                0.78823,                0.78254,                0.81765,                0.61738,                 1.0022,                 1.0447,                 1.8169,              0.0013017,              0.0013017,              0.0013017
                     11,                0.81725,                0.79719,                 1.2428,                0.83506,                0.72219,                0.77037,                0.52041,                 1.2272,                  1.176,                 2.0014,              0.0012875,              0.0012875,              0.0012875
                     12,                0.75672,                0.71588,                 1.1855,                0.70275,                0.87565,                0.86441,                0.55706,                 1.2055,                 1.1984,                 1.9805,              0.0012734,              0.0012734,              0.0012734
                     13,                0.74598,                0.70284,                 1.1934,                0.86901,                0.87832,                0.93815,                0.69549,                 1.0214,                 1.1892,                 1.8478,              0.0012592,              0.0012592,              0.0012592
                     14,                0.73436,                0.66944,                 1.1749,                0.71793,                0.74456,                0.76299,                0.54113,                 1.1533,                 1.2572,                 2.0541,              0.0012451,              0.0012451,              0.0012451
                     15,                 0.7863,                0.73487,                 1.2395,                0.78965,                0.49462,                0.80422,                0.62801,                   1.18,                 1.4848,                 2.2589,              0.0012309,              0.0012309,              0.0012309
                     16,                0.68117,                0.64226,                  1.147,                0.60765,                0.62567,                0.63227,                0.45476,                 1.0939,                 1.2602,                 1.9177,              0.0012168,              0.0012168,              0.0012168
                     17,                0.71268,                0.63762,                 1.1642,                0.62892,                0.68663,                0.67395,                0.50726,                0.90888,                 1.2184,                 1.7242,              0.0012026,              0.0012026,              0.0012026
                     18,                 0.7045,                 0.6391,                 1.1445,                0.82511,                0.65253,                0.80816,                0.58182,                 1.1113,                 1.0292,                 1.8561,              0.0011885,              0.0011885,              0.0011885
                     19,                0.70185,                 0.5923,                 1.1475,                0.95939,                0.80655,                0.95433,                0.73735,                0.95273,                0.81413,                  1.819,              0.0011744,              0.0011744,              0.0011744
                     20,                0.69938,                0.62583,                  1.148,                0.91354,                0.81819,                0.92635,                0.73032,                0.85084,                0.75035,                 1.5836,              0.0011602,              0.0011602,              0.0011602
                     21,                0.65074,                0.56337,                 1.1251,                0.89642,                0.79165,                0.88788,                0.64494,                 1.1497,                0.83812,                 1.9083,              0.0011461,              0.0011461,              0.0011461
                     22,                 0.6801,                0.57024,                 1.1386,                0.89142,                0.76503,                0.91242,                0.71855,                0.91798,                0.85395,                 1.7849,              0.0011319,              0.0011319,              0.0011319
                     23,                0.64729,                0.55908,                 1.1254,                0.93752,                0.78749,                0.87384,                0.59587,                 1.2966,                 1.0842,                 2.1884,              0.0011178,              0.0011178,              0.0011178
                     24,                0.62954,                0.54148,                 1.1121,                0.79913,                0.84782,                0.90179,                0.68245,                0.97144,                0.81035,                  1.793,              0.0011036,              0.0011036,              0.0011036
                     25,                0.62526,                0.53298,                 1.0975,                0.96581,                 0.8564,                0.95354,                0.75249,                0.83023,                0.61399,                 1.5572,              0.0010895,              0.0010895,              0.0010895
                     26,                 0.6532,                0.54975,                 1.1406,                 0.7863,                0.72092,                0.82555,                0.60298,                0.96717,                0.80055,                 1.6712,              0.0010753,              0.0010753,              0.0010753
                     27,                0.62966,                0.55465,                 1.1111,                0.71278,                0.67087,                0.75846,                0.49431,                 1.1467,                 1.2505,                 1.8651,              0.0010612,              0.0010612,              0.0010612
                     28,                0.60885,                0.51524,                  1.081,                0.56781,                0.73946,                0.67578,                 0.4966,                0.97897,                 1.2386,                  1.733,               0.001047,               0.001047,               0.001047
                     29,                 0.6011,                0.50931,                  1.078,                0.90062,                0.88536,                0.96345,                0.77202,                0.86943,                0.69021,                 1.6749,              0.0010329,              0.0010329,              0.0010329
                     30,                0.59237,                0.52451,                 1.1149,                0.83941,                0.56452,                0.86657,                0.63476,                 1.1829,                 1.2118,                 2.1362,              0.0010187,              0.0010187,              0.0010187
